service_id,date,exception_type
DAILY,20250101,2
DAILY,20250106,2
DAILY,20250425,2
DAILY,20250501,2
DAILY,20250602,2
DAILY,20250815,2
DAILY,20251101,2
DAILY,20251208,2
DAILY,20251225,2
DAILY,20251226,2
WEEKDAY,20250101,2
WEEKDAY,20250106,2
WEEKDAY,20250425,2
WEEKDAY,20250501,2
WEEKDAY,20250602,2
WEEKDAY,20250815,2
WEEKDAY,20251101,2
WEEKDAY,20251208,2
WEEKDAY,20251225,2
WEEKDAY,20251226,2
HOLIDAY,20250101,1
HOLIDAY,20250106,1
HOLIDAY,20250425,1
HOLIDAY,20250501,1
HOLIDAY,20250602,1
HOLIDAY,20250815,1
HOLIDAY,20251101,1
HOLIDAY,20251208,1
HOLIDAY,20251225,1
HOLIDAY,20251226,1
