trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
FR9001_1,06:00:00,06:00:00,83002,1,Napoli Centrale,0,0,0
FR9001_1,06:25:00,06:27:00,83008,2,Napoli Centrale,0,0,185
FR9001_1,07:03:00,07:05:00,83003,3,Napoli Centrale,0,0,273
FR9001_1,08:10:00,08:10:00,83001,4,Napoli Centrale,0,0,516
FR9001_1,11:30:00,11:30:00,83004,5,,0,0,771
FR9002_1,14:30:00,14:30:00,83004,1,Milano Centrale,0,0,0
FR9002_1,17:40:00,17:42:00,83001,2,Milano Centrale,0,0,225
FR9002_1,18:22:00,18:24:00,83003,3,Milano Centrale,0,0,468
FR9002_1,18:58:00,19:00:00,83008,4,Milano Centrale,0,0,556
FR9002_1,19:25:00,19:25:00,83002,5,,0,0,741
FR9003_1,08:00:00,08:00:00,83002,1,Napoli Centrale,0,0,0
FR9003_1,08:25:00,08:27:00,83008,2,Napoli Centrale,0,0,185
FR9003_1,09:03:00,09:05:00,83003,3,Napoli Centrale,0,0,273
FR9003_1,10:10:00,10:10:00,83001,4,Napoli Centrale,0,0,516
FR9003_1,13:30:00,13:30:00,83004,5,,0,0,771
FR9004_1,16:30:00,16:30:00,83004,1,Milano Centrale,0,0,0
FR9004_1,19:40:00,19:42:00,83001,2,Milano Centrale,0,0,225
FR9004_1,20:22:00,20:24:00,83003,3,Milano Centrale,0,0,468
FR9004_1,20:58:00,21:00:00,83008,4,Milano Centrale,0,0,556
FR9004_1,21:25:00,21:25:00,83002,5,,0,0,741
FA8601_1,08:15:00,08:15:00,83001,1,Lecce,0,0,0
FA8601_1,13:40:00,13:42:00,83009,2,Lecce,0,0,385
FA8601_1,15:45:00,15:45:00,83021,3,,0,0,556
FA8602_1,16:30:00,16:30:00,83021,1,Roma Termini,0,0,0
FA8602_1,18:40:00,18:42:00,83009,2,Roma Termini,0,0,171
FA8602_1,23:58:00,23:58:00,83001,3,,0,0,556
IC501_1,07:35:00,07:35:00,83002,1,Roma Termini,0,0,0
IC501_1,08:08:00,08:10:00,83008,2,Roma Termini,0,0,185
IC501_1,08:52:00,08:54:00,83003,3,Roma Termini,0,0,273
IC501_1,09:25:00,09:27:00,83049,4,Roma Termini,0,0,341
IC501_1,09:48:00,09:50:00,83050,5,Roma Termini,0,0,395
IC501_1,10:15:00,10:17:00,83051,6,Roma Termini,0,0,448
IC501_1,11:05:00,11:05:00,83001,7,,0,0,516
IC502_1,16:45:00,16:45:00,83001,1,Milano Centrale,0,0,0
IC502_1,17:35:00,17:37:00,83051,2,Milano Centrale,0,0,68
IC502_1,18:02:00,18:04:00,83050,3,Milano Centrale,0,0,121
IC502_1,18:25:00,18:27:00,83049,4,Milano Centrale,0,0,175
IC502_1,18:58:00,19:00:00,83003,5,Milano Centrale,0,0,243
IC502_1,19:42:00,19:44:00,83008,6,Milano Centrale,0,0,331
IC502_1,20:15:00,20:15:00,83002,7,,0,0,516
REG_4001,06:20:00,06:20:00,83003,1,Livorno Centrale,0,0,0
REG_4001,06:45:00,06:47:00,83078,2,Livorno Centrale,0,0,32
REG_4001,07:12:00,07:14:00,83027,3,Livorno Centrale,0,0,67
REG_4001,07:38:00,07:38:00,83028,4,,0,0,87
REG_4002,14:25:00,14:25:00,83028,1,Firenze S.M.N.,0,0,0
REG_4002,14:51:00,14:53:00,83027,2,Firenze S.M.N.,0,0,20
REG_4002,15:18:00,15:20:00,83078,3,Firenze S.M.N.,0,0,55
REG_4002,15:45:00,15:45:00,83003,4,,0,0,87
S1_001,06:05:00,06:05:00,83060,1,Lodi,0,0,0
S1_001,06:27:00,06:29:00,83002,2,Lodi,0,0,35
S1_001,07:15:00,07:15:00,83099,3,,0,0,78
S1_002,16:20:00,16:20:00,83099,1,Saronno,0,0,0
S1_002,17:07:00,17:09:00,83002,2,Saronno,0,0,43
S1_002,17:31:00,17:31:00,83060,3,,0,0,78
REG_2001,07:10:00,07:10:00,83008,1,Rimini,0,0,0
REG_2001,07:35:00,07:37:00,83052,2,Rimini,0,0,45
REG_2001,08:02:00,08:04:00,83053,3,Rimini,0,0,78
REG_2001,08:28:00,08:30:00,83054,4,Rimini,0,0,105
REG_2001,08:55:00,08:55:00,83055,5,,0,0,135
REG_2002,15:35:00,15:35:00,83055,1,Bologna Centrale,0,0,0
REG_2002,16:02:00,16:04:00,83054,2,Bologna Centrale,0,0,30
REG_2002,16:28:00,16:30:00,83053,3,Bologna Centrale,0,0,57
REG_2002,16:55:00,16:57:00,83052,4,Bologna Centrale,0,0,90
REG_2002,17:20:00,17:20:00,83008,5,,0,0,135
REG_5001,08:20:00,08:20:00,83004,1,Battipaglia,0,0,0
REG_5001,08:45:00,08:47:00,83023,2,Battipaglia,0,0,35
REG_5001,09:15:00,09:15:00,83100,3,,0,0,68
REG_5002,17:40:00,17:40:00,83100,1,Napoli Centrale,0,0,0
REG_5002,18:10:00,18:12:00,83023,2,Napoli Centrale,0,0,33
REG_5002,18:35:00,18:35:00,83004,3,,0,0,68
REG_6001,09:25:00,09:25:00,83009,1,Foggia,0,0,0
REG_6001,11:15:00,11:15:00,83020,2,,0,0,142
REG_6002,16:45:00,16:45:00,83020,1,Bari Centrale,0,0,0
REG_6002,18:35:00,18:35:00,83009,2,,0,0,142
REG_6101,10:30:00,10:30:00,83009,1,Lecce,0,0,0
REG_6101,11:05:00,11:07:00,83036,2,Lecce,0,0,67
REG_6101,11:45:00,11:45:00,83021,3,,0,0,125
REG_6102,18:20:00,18:20:00,83021,1,Bari Centrale,0,0,0
REG_6102,19:00:00,19:02:00,83036,2,Bari Centrale,0,0,58
REG_6102,19:35:00,19:35:00,83009,3,,0,0,125
REG_7001,11:45:00,11:45:00,83010,1,Messina Centrale,0,0,0
REG_7001,14:30:00,14:30:00,83101,2,,0,0,245
REG_7002,16:15:00,16:15:00,83101,1,Palermo Centrale,0,0,0
REG_7002,19:00:00,19:00:00,83010,2,,0,0,245
REG_8001,12:30:00,12:30:00,83013,1,Sassari,0,0,0
REG_8001,15:45:00,15:45:00,83043,2,,0,0,215
REG_8002,17:20:00,17:20:00,83043,1,Cagliari,0,0,0
REG_8002,20:35:00,20:35:00,83013,2,,0,0,215
NTV9701_1,07:00:00,07:00:00,83002,1,Napoli Centrale,0,0,0
NTV9701_1,07:22:00,07:24:00,83008,2,Napoli Centrale,0,0,185
NTV9701_1,07:58:00,08:00:00,83003,3,Napoli Centrale,0,0,273
NTV9701_1,09:00:00,09:00:00,83001,4,Napoli Centrale,0,0,516
NTV9701_1,12:15:00,12:15:00,83004,5,,0,0,771
NTV9702_1,15:45:00,15:45:00,83004,1,Milano Centrale,0,0,0
NTV9702_1,18:50:00,18:52:00,83001,2,Milano Centrale,0,0,225
NTV9702_1,19:30:00,19:32:00,83003,3,Milano Centrale,0,0,468
NTV9702_1,20:06:00,20:08:00,83008,4,Milano Centrale,0,0,556
NTV9702_1,20:30:00,20:30:00,83002,5,,0,0,741
