route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
FR_AV01,DAILY,FR9001_1,Napoli Centrale,FR 9001,0,B001,SH001,1,0
FR_AV01,DAILY,FR9002_1,Milano Centrale,FR 9002,1,B002,SH002,1,0
FR_AV01,DAILY,FR9003_1,Napoli Centrale,FR 9003,0,B003,SH001,1,0
FR_AV01,DAILY,FR9004_1,Milano Centrale,FR 9004,1,B004,SH002,1,0
FR_AV01,DAILY,FR9605_1,Napoli Centrale,FR 9605,0,B005,SH001,1,0
FR_AV01,DAILY,FR9606_1,Milano Centrale,FR 9606,1,B006,SH002,1,0
FR_AV02,DAILY,FR8501_1,Salerno,FR 8501,0,B007,SH003,1,0
FR_AV02,DAILY,FR8502_1,Torino P.N.,FR 8502,1,B008,SH004,1,0
FR_AV03,DAILY,FR9301_1,Roma Termini,FR 9301,0,B009,SH005,1,0
FR_AV03,DAILY,FR9302_1,Venezia S.L.,FR 9302,1,B010,SH006,1,0
FA_AV01,DAILY,FA8601_1,Lecce,FA 8601,0,B011,SH007,1,0
FA_AV01,DAILY,FA8602_1,Roma Termini,FA 8602,1,B012,SH008,1,0
FA_AV02,DAILY,FA8607_1,Bari Centrale,FA 8607,0,B013,SH009,1,0
FA_AV02,DAILY,FA8608_1,Roma Termini,FA 8608,1,B014,SH010,1,0
FB_AV01,DAILY,FB8621_1,Genova P.P.,FB 8621,0,B015,SH011,1,0
FB_AV01,DAILY,FB8622_1,Milano Centrale,FB 8622,1,B016,SH012,1,0
FB_AV02,DAILY,FB8635_1,Trieste Centrale,FB 8635,0,B017,SH013,1,0
FB_AV02,DAILY,FB8636_1,Milano Centrale,FB 8636,1,B018,SH014,1,0
IC_001,DAILY,IC501_1,Roma Termini,IC 501,0,B019,SH015,1,1
IC_001,DAILY,IC502_1,Milano Centrale,IC 502,1,B020,SH016,1,1
IC_001,DAILY,IC503_1,Roma Termini,IC 503,0,B021,SH015,1,1
IC_001,DAILY,IC504_1,Milano Centrale,IC 504,1,B022,SH016,1,1
IC_002,DAILY,IC601_1,Roma Termini,IC 601,0,B023,SH017,1,1
IC_002,DAILY,IC602_1,Torino P.N.,IC 602,1,B024,SH018,1,1
